# Pass Information:,,,,,,,,,,,,,,,,,,
#  satname=METOP-1                     # Satellite name (NOAA-18,METOP-1,etc.),,,,,,,,,,,,,,,,
#  satid=noa1                          # Satellite ID (noa1,noai,eam1,etc.),,,,,,,,,,,,,,,
#  passid=23096191807                  # Pass ID (noa1,noai,eam1,etc.),,,,,,,,,,,,,,,
#  passdate=20230406191807             # Pass date (yyyyMMDDhhmmss),,,,,,,,,,,,,,,,,,
#  pass_start=2023-04-06T19:18:07      # Pass start (yyyy-DD-DDThh:mm:ss),,,,,,,,,,,,,,,,,,
#  max_elev=3.5                        # Elevation at Point of Closest Approach (degree),,,,,,,,,,,,,,,,,,
#  max_azim=309.6                      # Azimuth at Point of Closest Approach (degree),,,,,,,,,,,,,,,,,,
#  pass_length=461                     # Pass length in seconds,,,,,,,,,,,,,,,,,,
#  rcvr_type=1                         # Receiver type (1=OSL,2=GSI,3=MK-II),,,,,,,,,,,,,,,,
#  beacon=1701.3                       # Beason Frequency (MHz),,,,,,,,,,,,,,,,,,
#  tracking=1                          # Tracking Mode (1=ACU,2=CPU,,,,,,,,,,,,,,,,,
#  ant_lat=40.131010                   # Antenna latitude (+/- North/South),,,,,,,,,,,,,,,,,,
#  ant_lon=-105.241130                 # Antenna longitude (+/- East/West),,,,,,,,,,,,,,,,,,
#  ant_alt=1680.0                      # Antenna altitude (meter),,,,,,,,,,,,,,,,,,
#  n_pts=461                           # Nbr of tracking points,,,,,,,,,,,,,,,,,,
#  n_known=57650                       # Frames with known length,,,,,,,,,,,,,,,,,,
#  n_unknown=0                         # Frames with unknown length,,,,,,,,,,,,,,,,,,
#  max_fps=428                         # Max. frames per second,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# Tracking/Reception/Ingestion Information:,,,,,,,,,,,,,,,,,,
#  Column  1: index,,,,,,,,,,,,,,,,,,
#  Column  2: date-time,,,,,,,,,,,,,,,,,,
#  Column  3: elevation (0 - 180),,,,,,,,,,,,,,,,,,
#  Column  4: azimuth (0 - 360),,,,,,,,,,,,,,,,,,
#  Column  5: feed lock status (-1/0/1),,,,,,,,,,,,,,,,,,
#  Column  6: receiver status (0/1/2/3),,,,,,,,,,,,,,,,,,
#  Column  7: ingest bit sync status (0/1),,,,,,,,,,,,,,,,,,
#  Column  8: ingest frame sync status (0/1),,,,,,,,,,,,,,,,,,
#  Column  9: Sum of columns 6,7,and 8,,,,,,,,,,,,,,,,
#  Column 10: receiver strength (dBm). No unit if rcvr_type is 2 or 3),,,,,,,,,,,,,,,,,,
#  Column 11: receiver current (no unit). (rcvr_type 2 only),,,,,,,,,,,,,,,,,,
#  Column 12: Eb/No if R-S Symbol locked. (rcvr_type 1 only),,,,,,,,,,,,,,,,,,
#  Column 13: Approx. of uncorrectted bit error rate. (rcvr_type 1 only),,,,,,,,,,,,,,,,,,
#  Column 14: Ingested frames.,,,,,,,,,,,,,,,,,,
#  Column 15: Missing frames (HRPT only).,,,,,,,,,,,,,,,,,,
#  Column 16: Uncorrect frames (CCSDS) or frames with bit errors (HRPT).,,,,,,,,,,,,,,,,,,
#  Column 17: Sync/Aux/Spare bits checked.,,,,,,,,,,,,,,,,,,
#  Column 18: Sync/Aux/Spare bits in error.,,,,,,,,,,,,,,,,,,
#  Column 19: FAIL=missing frames or frame/bit errors. Otherwise PASS.,,,,,,,,,,,,,,,,,,
#,,,,,,,,SUM,,,,,,,,,,
NDX,yyyy-MM-DD,Elev,Azim,FL,RS,BS,FS,FRI,Signal,Current,Eb/No,~uBER,INGEST,MISS,ERROR,BITs,BADs,PASS/FAIL
0,2023-04-06 19:18:05,0.01,340.31,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
1,2023-04-06 19:18:06,0.01,340.09,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
2,2023-04-06 19:18:07,0.01,339.98,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
3,2023-04-06 19:18:08,0.01,339.86,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
4,2023-04-06 19:18:09,0.01,339.75,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
5,2023-04-06 19:18:10,0.01,339.64,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
6,2023-04-06 19:18:11,0.01,339.53,-1,0,0,0,0,-65.5,0,0,-1.00E+07,0,-428,0,0,0,FAIL
7,2023-04-06 19:18:12,0.01,339.42,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
8,2023-04-06 19:18:13,0.01,339.3,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
9,2023-04-06 19:18:14,0.01,339.19,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
10,2023-04-06 19:18:15,0.01,339.08,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
11,2023-04-06 19:18:16,0.01,338.96,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
12,2023-04-06 19:18:17,0.01,338.85,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
13,2023-04-06 19:18:18,0.01,338.74,-1,0,0,0,0,-65.5,0,0,-1.00E+07,0,-428,0,0,0,FAIL
14,2023-04-06 19:18:19,0.01,338.62,-1,0,0,0,0,-65.5,0,0,-1.00E+07,0,-428,0,0,0,FAIL
15,2023-04-06 19:18:20,0.01,338.51,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
16,2023-04-06 19:18:21,0.01,338.4,-1,0,0,0,0,-65.5,0,0,-1.00E+07,0,-428,0,0,0,FAIL
17,2023-04-06 19:18:22,0.01,338.28,-1,0,0,0,0,-65.5,0,0,-1.00E+07,0,-428,0,0,0,FAIL
18,2023-04-06 19:18:23,0.01,338.17,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
19,2023-04-06 19:18:24,0.03,338.06,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
20,2023-04-06 19:18:25,0.05,337.95,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
21,2023-04-06 19:18:26,0.09,337.84,-1,0,0,0,0,-65.5,0,0,-1.00E+07,0,-428,0,0,0,FAIL
22,2023-04-06 19:18:27,0.11,337.73,-1,0,0,0,0,-65.5,0,0,-1.00E+07,0,-428,0,0,0,FAIL
23,2023-04-06 19:18:28,0.14,337.61,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
24,2023-04-06 19:18:29,0.16,337.49,-1,0,0,0,0,-65.5,0,0,-1.00E+07,0,-428,0,0,0,FAIL
25,2023-04-06 19:18:30,0.19,337.37,-1,0,0,0,0,-65.5,0,0,-1.00E+07,0,-428,0,0,0,FAIL
26,2023-04-06 19:18:31,0.22,337.25,-1,0,0,0,0,-65.6,0,0,-1.00E+07,0,-428,0,0,0,FAIL
